"filename", "language", "C++", "Markdown", "TypeScript", "comment", "blank", "total"
"e:\Code\QT\Chess_MultiplePlayer_Online\Bishop.h", "C++", 96, 0, 0, 2, 11, 109
"e:\Code\QT\Chess_MultiplePlayer_Online\ChatPanel.cpp", "C++", 46, 0, 0, 0, 11, 57
"e:\Code\QT\Chess_MultiplePlayer_Online\ChatPanel.h", "C++", 26, 0, 0, 3, 12, 41
"e:\Code\QT\Chess_MultiplePlayer_Online\ChessBoard.cpp", "C++", 674, 0, 0, 99, 155, 928
"e:\Code\QT\Chess_MultiplePlayer_Online\ChessBoard.h", "C++", 88, 0, 0, 0, 21, 109
"e:\Code\QT\Chess_MultiplePlayer_Online\ChessPiece.h", "C++", 39, 0, 0, 0, 8, 47
"e:\Code\QT\Chess_MultiplePlayer_Online\King.h", "C++", 117, 0, 0, 11, 23, 151
"e:\Code\QT\Chess_MultiplePlayer_Online\Knight.h", "C++", 60, 0, 0, 1, 12, 73
"e:\Code\QT\Chess_MultiplePlayer_Online\Network-app_en_US.ts", "TypeScript", 0, 0, 3, 0, 1, 4
"e:\Code\QT\Chess_MultiplePlayer_Online\NetworkClient.cpp", "C++", 123, 0, 0, 6, 18, 147
"e:\Code\QT\Chess_MultiplePlayer_Online\NetworkClient.h", "C++", 40, 0, 0, 0, 12, 52
"e:\Code\QT\Chess_MultiplePlayer_Online\NetworkServer.cpp", "C++", 181, 0, 0, 15, 27, 223
"e:\Code\QT\Chess_MultiplePlayer_Online\NetworkServer.h", "C++", 48, 0, 0, 0, 11, 59
"e:\Code\QT\Chess_MultiplePlayer_Online\Pawn.h", "C++", 85, 0, 0, 7, 18, 110
"e:\Code\QT\Chess_MultiplePlayer_Online\PromotionDialog.cpp", "C++", 67, 0, 0, 7, 18, 92
"e:\Code\QT\Chess_MultiplePlayer_Online\PromotionDialog.h", "C++", 24, 0, 0, 0, 10, 34
"e:\Code\QT\Chess_MultiplePlayer_Online\Queen.h", "C++", 64, 0, 0, 2, 12, 78
"e:\Code\QT\Chess_MultiplePlayer_Online\README.md", "Markdown", 0, 2, 0, 0, 2, 4
"e:\Code\QT\Chess_MultiplePlayer_Online\Rook.h", "C++", 92, 0, 0, 2, 11, 105
"e:\Code\QT\Chess_MultiplePlayer_Online\StatusPanel.cpp", "C++", 236, 0, 0, 48, 62, 346
"e:\Code\QT\Chess_MultiplePlayer_Online\main.cpp", "C++", 20, 0, 0, 0, 4, 24
"e:\Code\QT\Chess_MultiplePlayer_Online\mainwindow.cpp", "C++", 213, 0, 0, 30, 46, 289
"e:\Code\QT\Chess_MultiplePlayer_Online\mainwindow.h", "C++", 39, 0, 0, 0, 12, 51
"e:\Code\QT\Chess_MultiplePlayer_Online\statuspanel.h", "C++", 71, 0, 0, 2, 15, 88
"Total", "-", 2449, 2, 3, 235, 532, 3221
